,Unnamed: 0,Academic Year,Term,Subject,Course No.,Course Title,Instructor,GPA,A (%),A- (%),B+ (%),B (%),B- (%),C+ (%),C (%),C- (%),D+ (%),D (%),D- (%),F (%),Withdraws,Graded Enrollment,CRN,Credits,ratings,difficulties,num_ratings
144,144,2023-24,Fall,CS,6204,Advanced Topics in Systems,Chung,3.71,62.5,12.5,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,8,91142,3,4.3,3.6,21.0
145,145,2020-21,Spring,CS,2304,TS: Intro to Data Manage & SQL,Charles,3.47,56.0,16.0,8.0,0.0,8.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,6,25,13097,1,4.4,2.6,18.0
146,146,2018-19,Spring,CS,2304,Docker Containerization,Irwin,3.8,84.6,3.8,0.0,3.8,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,2,26,12787,1,4.5,3.5,2.0
147,147,2021-22,Spring,CS,2304,TS: Prog Sys Data Manage & SQL,Charles,2.94,38.5,7.7,7.7,15.4,3.8,0.0,11.5,3.8,0.0,0.0,0.0,11.5,4,26,13223,1,4.4,2.6,18.0
148,148,2018-19,Fall,CS,2304,Self Study Prog Sys,Charles,3.67,74.1,0.0,3.7,7.4,7.4,3.7,3.7,0.0,0.0,0.0,0.0,0.0,6,27,82687,1,4.4,2.6,18.0
149,149,2018-19,Fall,CS,3414,Numerical Methods,Watson,3.22,33.3,11.1,11.1,22.2,0.0,0.0,22.2,0.0,0.0,0.0,0.0,0.0,0,9,82710,3,5.0,1.2,5.0
150,150,2018-19,Fall,CS,5834,Intro to Urban Computing,Reddy,3.74,66.7,11.1,11.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,82787,3,3.5,3.4,14.0
151,151,2018-19,Fall,CS,4984,SS: Modern C++ Programming,Back,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,9,91102,3,3.4,4.5,18.0
152,152,2018-19,Spring,CS,5526,Data Analytics,Reddy,3.78,55.6,22.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,12873,3,3.5,3.4,14.0
153,153,2018-19,Spring,CS,4304,Compiler Design,Jung,3.52,33.3,33.3,11.1,11.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,2,9,19513,3,2.9,4.0,46.0
154,154,2019-20,Fall,CS,3414,Numerical Methods,Watson,2.56,22.2,11.1,11.1,22.2,0.0,0.0,11.1,0.0,0.0,0.0,0.0,22.2,1,9,82823,3,5.0,1.2,5.0
155,155,2019-20,Fall,CS,4234,Parallel Computation,Sandu,3.04,44.4,0.0,0.0,22.2,11.1,0.0,0.0,11.1,0.0,11.1,0.0,0.0,0,9,82839,3,3.1,3.6,10.0
156,156,2019-20,Spring,CS,5854,Computational Systems Biology,Murali,3.52,22.2,33.3,22.2,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,19689,3,4.1,3.1,22.0
157,157,2020-21,Spring,CS,5040,Intermed Data Struct/Algorithm,Edmison,3.19,55.6,11.1,0.0,0.0,11.1,11.1,0.0,0.0,0.0,0.0,0.0,11.1,0,9,13283,3,1.0,5.0,1.0
158,158,2021-22,Fall,CS,5214,Mod & Eval Comp Sys,Chen,3.86,66.7,22.2,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,83206,3,1.6,3.9,8.0
159,159,2021-22,Fall,CS,3714,Mobile Software Development,Esakia,3.97,88.9,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,9,92079,3,4.5,1.5,2.0
160,160,2021-22,Spring,CS,4504,Computer Organization,Feng,2.44,33.3,0.0,0.0,11.1,0.0,11.1,11.1,11.1,0.0,11.1,0.0,11.1,0,9,13303,3,5.0,3.0,1.0
161,161,2021-22,Spring,CS,6204,TS: Systems Security Seminar,Hicks,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,20450,3,0.0,0.0,0.0
162,162,2021-22,Spring,CS,5526,Data Analytics,Deng,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,21481,3,2.5,3.8,87.0
163,163,2022-23,Fall,CS,4824,Machine Learning,Hilal,3.52,33.3,33.3,11.1,11.1,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,1,9,83331,3,4.3,2.1,58.0
164,164,2022-23,Fall,CS,5560,Fundamentals of Info Security,Wang,3.87,55.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,83415,3,3.1,3.1,4.0
165,165,2022-23,Fall,CS,5914,TS: Dec. Making Under Uncert,Cho,3.5,11.1,55.6,11.1,11.1,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,91499,3,3.9,2.6,9.0
166,166,2022-23,Spring,CS,3414,Numerical Methods,Cao,2.89,22.2,11.1,22.2,22.2,0.0,0.0,0.0,11.1,0.0,0.0,0.0,11.1,1,9,13382,3,2.0,4.9,13.0
167,167,2022-23,Spring,CS,3714,Mobile Software Development,Balci,2.37,11.1,0.0,22.2,0.0,11.1,0.0,44.4,0.0,0.0,0.0,0.0,11.1,1,9,13394,3,1.5,4.4,10.0
168,168,2023-24,Fall,CS,3654,Intro Data Analytics & Visual,Harden,3.87,55.6,44.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,83374,3,3.5,2.5,2.0
169,169,2023-24,Fall,CS,3714,Mobile Software Development,Balci,2.03,0.0,11.1,22.2,22.2,0.0,0.0,11.1,0.0,0.0,0.0,0.0,33.3,0,9,83379,3,1.5,4.4,10.0
170,170,2023-24,Fall,CS,5714,Usability Engineering,Gabbard,3.93,77.8,22.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,83506,3,3.8,2.3,37.0
171,171,2023-24,Fall,CS,6804,Adv Topics Intell Sys,Yao,3.97,88.9,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,91189,3,4.0,3.0,1.0
172,172,2023-24,Fall,CS,5304,Trans Design and Con,Sundararajah,3.56,33.3,22.2,33.3,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9,91977,3,,,
173,173,2022-23,Fall,CS,2304,TS: DBMS & SQL,Charles,3.03,46.4,0.0,7.1,10.7,7.1,3.6,7.1,0.0,10.7,3.6,3.6,0.0,7,28,83251,1,4.4,2.6,18.0
174,174,2022-23,Spring,CS,2304,TS: DBMS&SQL,Charles,3.42,55.2,6.9,0.0,20.7,10.3,0.0,0.0,0.0,0.0,3.4,3.4,0.0,4,29,13318,1,4.4,2.6,18.0
175,175,2018-19,Fall,CS,4204,Computer Graphics,Gracanin,3.34,20.0,30.0,10.0,30.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,10,89912,3,1.6,4.4,7.0
176,176,2018-19,Fall,CS,5114,Theory of Algorithms,Cho,3.84,70.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,90689,3,3.9,2.6,9.0
177,177,2018-19,Spring,CS,3414,Numerical Methods,Sandu,2.7,20.0,10.0,10.0,0.0,0.0,10.0,40.0,10.0,0.0,0.0,0.0,0.0,1,10,12811,3,3.1,3.6,10.0
178,178,2018-19,Spring,CS,5526,Data Analytics,Reddy,3.71,50.0,30.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,19709,3,3.5,3.4,14.0
179,179,2019-20,Fall,CS,2304,Self Stdy Intr Data Mgt/SQL,Charles,3.58,76.7,6.7,0.0,3.3,3.3,3.3,0.0,0.0,0.0,0.0,0.0,6.7,6,30,82790,1,4.4,2.6,18.0
180,180,2019-20,Fall,CS,6724,TS:Hmn Comp Inter&Intnt of Thn,Gracanin,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,90124,3,1.6,4.4,7.0
181,181,2019-20,Fall,CS,2984,SS: Compet Problem Solving I,Back,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,91613,3,3.4,4.5,18.0
182,182,2019-20,Spring,CS,5525,Data Analytics,Adhikari,3.75,30.0,60.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,13143,3,3.0,3.1,26.0
183,183,2019-20,Spring,CS,6724,TS: Human-AI Interaction,Luther,3.67,40.0,30.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,19652,3,5.0,3.5,4.0
184,184,2020-21,Fall,CS,3414,Numerical Methods,Sarshar,3.6,60.0,20.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0,10,83024,3,0.0,0.0,0.0
185,185,2020-21,Fall,CS,4784,Human-Computer Interact Capstn,Tatar,3.43,50.0,10.0,20.0,0.0,0.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0,10,83050,3,3.3,3.6,34.0
186,186,2020-21,Fall,CS,5614,Database Management Systems,Sibdari,3.6,20.0,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,83128,3,4.0,3.6,62.0
187,187,2020-21,Spring,CS,5234,Advanced Parallel Computation,Feng,3.48,30.0,30.0,0.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,13288,3,5.0,3.0,1.0
188,188,2020-21,Spring,CS,5590,System and Software Security,Hicks,3.46,70.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,10,13302,3,0.0,0.0,0.0
189,189,2020-21,Spring,CS,5124,Algorithms in Bioinformatics,Zhang,4.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,20501,3,3.4,2.5,14.0
190,190,2021-22,Fall,CS,4234,Parallel Computation,Sandu,3.46,40.0,0.0,20.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10,83127,3,3.1,3.6,10.0
191,191,2021-22,Fall,CS,5510,Multiprocessor Programming,Nikolopoulos,3.41,50.0,30.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,10,83213,3,3.6,4.0,7.0
192,192,2021-22,Fall,CS,4204,Computer Graphics,Gracanin,3.41,30.0,20.0,10.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,10,91300,3,1.6,4.4,7.0
193,193,2021-22,Fall,CS,2144,Competitive Problem Solving I,Back,3.8,90.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0,10,91307,3,3.4,4.5,18.0
194,194,2021-22,Spring,CS,6824,TS: AI-powered Molecular Mdlng,Bhattacharya,3.83,70.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,20577,3,5.0,3.0,1.0
195,195,2022-23,Spring,CS,5046,Computation for Data Sciences,Zhang,3.9,90.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,10,13525,3,3.4,2.5,14.0
196,196,2022-23,Spring,CS,5526,Data Analytics,Jafari,3.12,30.0,0.0,40.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0,10,20651,3,3.9,2.8,35.0
